"","ST1","ST2","ST3","AbunT1","AbunT2","AbunT3","DivT1","DivT2","DivT3"
"T1C1",7,21,9,10,112,12,1.83437197028162,2.2971905627283,2.09472904752765
"T1C2",13,1,0,27,4,0,2.42621176953533,0,0
"T1C3",0,7,10,0,15,22,0,1.73212598149027,1.91634032680058
"T1C4",6,11,5,11,17,6,1.54030582522652,2.26238625418332,1.56071040904141
"T1C5",3,13,8,4,44,24,1.03972077083992,2.01564567271627,1.67101295694574
"T1C6",10,13,5,27,40,41,1.96154989104937,2.24932890012999,0.730249595143496
"T1C7",9,4,12,23,6,28,1.9067883751654,1.242453324894,2.00100451921735
"T1C8",4,4,3,5,6,7,1.33217904021012,1.32966134885476,1.00424247305408
"T1C9",10,4,14,82,7,125,1.79288652928048,1.35178399428965,1.93054029319342
"T1C10",12,6,9,107,8,19,1.81649727820244,1.73286795139986,2.04134526983995
