,T1C1,T1C2,T1C3,T1C4,T1C5,T1C6,T1C7,T1C8,T1C9,T1C10,Sum,Puntuacion,T2C1,T2C2,T2C3,T2C4,T2C5,T2C6,T2C7,T2C8,T2C9,T2C10,Sum,Puntuacion,T3C1,T3C2,T3C3,T3C4,T3C5,T3C6,T3C7,T3C8,T3C9,T3C10,Sum,Puntuacion,Jaca1,Jaca2,Jaca3,Sum,Puntuacion
Leptophlebiidae,3,0,0,0,0,0,0,1,0,0,4,8,1,0,1,1,0,3,3,2,1,2,14,8,0,0,9,1,0,2,12,0,3,3,30,8,0,0,0,0,
Leptohyphidae,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,2,5,0,0,2,0,0,0,0,0,5,2,9,5,0,0,0,0,
Baetidae,1,3,0,2,1,0,0,0,20,2,29,5,7,0,3,4,6,4,0,1,0,0,25,5,0,0,1,0,0,0,1,3,6,0,11,5,0,0,0,0,
Perliidae,0,3,0,0,0,0,0,0,9,3,15,10,6,0,0,1,0,0,0,2,2,1,12,10,1,0,0,0,2,0,1,0,2,0,6,10,0,0,0,0,
Veliidae,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,
Belostomatidae,1,3,0,1,0,0,0,0,1,0,6,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,0,0,2,0,4,4,0,0,0,0,
Hebridae,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
Coenagrionidae,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,1,2,4,0,0,0,0,
Lestidae,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,
Calopterigidae,0,0,0,5,0,0,0,0,3,2,10,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,
Gomphidae,1,0,0,0,0,0,0,1,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,
Blaberidae,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,2,8,0,1,0,1,8
Corydalidae,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,
Staphylinidae,1,0,0,0,0,10,1,0,3,0,15,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,
Ptilodactilidae,0,5,0,0,0,1,0,0,0,2,8,7,11,0,0,0,3,11,0,0,0,0,25,7,3,0,0,0,1,33,2,0,0,0,39,7,0,2,0,2,7
