"","V1"
"Leptophlebiidaeprom",12
"Leptohyphidaeprom",20
"Baetidaeprom",17
"Perliidaeprom",9.75
"Veliidaeprom",1
"Belostomatidaeprom",2.5
"Hebridaeprom",0.75
"Coenagrionidaeprom",3.75
"Lestidaeprom",0.25
"Calopterigidaeprom",5
"Gomphidaeprom",0.5
"Blaberidaeprom",1.5
"Corydalidaeprom",1
"Staphylinidaeprom",4
"Ptilodactilidaeprom",18.5
"Heteroceridaeprom",0.25
"Scirtidaeprom",1
"Elmidaeprom",3.75
"Hydraenidaeprom",4.75
"Ptilidaeprom",0.75
"Chironomidaeprom",19.75
"Simuliidaeprom",3.5
"Tipulidaeprom",5.25
"Dolichopodidaeprom",0.75
"Hydropsychidaeprom",48.5
"Odontoceridaeprom",17
"Philopotamidaeprom",4.25
"Calamoceratidaeprom",3.25
"Ceratopogonidaeprom",1
"Stratiomyidaeprom",0.25
"Lampyridaeprom",0.25
"Dryopidaeprom",0.25
"Hydrophilidaeprom",2
"Curculionidaeprom",0.25
"Dytiscidaeprom",2
"Coccinelidaeprom",0.25
"Trydactilidaeprom",0.25
"Ochteridaeprom",0.25
"Pseudothelphusidaeprom",1.5
"Turbelaridaeprom",14
"Styloniscidaeprom",0.75
"Lepidostomatidaeprom",11.25
"Dixidaeprom",0.5
"Leptoceridaeprom",0.25
"Xiphocentronidaeprom",0.25
"Tetrigidaeprom",0.25
"Limoniidaeprom",0.25
"Empididaeprom",0.25
"Libellulidaeprom",3.5
"Hydrobiosidaeprom",1.5
"Glossosomatidaeprom",0.25
"Crambidaeprom",0.25
"Hydroptilidaeprom",0.5
