"","V1"
"Leptophlebiidaetot",48
"Leptohyphidaetot",20
"Baetidaetot",68
"Perliidaetot",39
"Veliidaetot",4
"Belostomatidaetot",10
"Hebridaetot",3
"Coenagrionidaetot",15
"Lestidaetot",1
"Calopterigidaetot",20
"Gomphidaetot",2
"Blaberidaetot",6
"Corydalidaetot",4
"Staphylinidaetot",16
"Ptilodactilidaetot",74
"Heteroceridaetot",1
"Scirtidaetot",4
"Elmidaetot",15
"Hydraenidaetot",19
"Ptilidaetot",3
"Chironomidaetot",79
"Simuliidaetot",14
"Tipulidaetot",21
"Dolichopodidaetot",3
"Hydropsychidaetot",194
"Odontoceridaetot",68
"Philopotamidaetot",17
"Calamoceratidaetot",13
"Ceratopogonidaetot",4
"Stratiomyidaetot",1
"Lampyridaetot",1
"Dryopidaetot",1
"Hydrophilidaetot",8
"Curculionidaetot",1
"Dytiscidaetot",8
"Coccinelidaetot",1
"Trydactilidaetot",1
"Ochteridaetot",1
"Pseudothelphusidaetot",6
"Turbelaridaetot",56
"Styloniscidaetot",3
"Lepidostomatidaetot",45
"Dixidaetot",2
"Leptoceridaetot",1
"Xiphocentronidaetot",1
"Tetrigidaetot",1
"Limoniidaetot",1
"Empididaetot",1
"Libellulidaetot",14
"Hydrobiosidaetot",6
"Glossosomatidaetot",1
"Crambidaetot",1
"Hydroptilidaetot",2
