,Leptophlebiidae,Leptohyphidae,Baetidae,Perliidae,Veliidae,Belostomatidae,Hebridae,Coenagrionidae,Lestidae,Calopterigidae,Gomphidae,Blaberidae,Corydalidae,Staphylinidae,Ptilodactilidae,Heteroceridae,Scirtidae,Elmidae,Hydraenidae,Ptilidae,Chironomidae,Simuliidae,Tipulidae,Dolichopodidae,Hydropsychidae,Odontoceridae,Philopotamidae,Calamoceratidae,Ceratopogonidae,Stratiomyidae,Lampyridae,Dryopidae,Hydrophilidae,Curculionidae,Dytiscidae,Coccinelidae,Trydactilidae,Ochteridae,Pseudothelphusidae,Turbelaridae,Styloniscidae
T1C1,3,0,1,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1C2,0,0,3,3,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
T1C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1C4,0,0,2,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1C5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1C6,0,0,0,0,0,0,1,0,0,0,0,3,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0
T1C7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1
T1C8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1C9,0,0,20,9,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1C10,0,0,2,3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
